city_name,city_country_code,city_id,city_lat,city_lng,city_max_temp,city_humidity,city_cloud_cover,city_wind_speed,record_dt
Punta Arenas,CL,3874787,-53.16,-70.91,39.2,100,40,28.86,1524272400
Ushuaia,AR,3833367,-54.81,-68.31,41.0,86,40,6.93,1524272400
Port Elizabeth,ZA,964420,-33.92,25.57,51.8,93,0,4.7,1524272940
Port Alfred,ZA,964432,-33.59,26.89,62.14,100,0,5.5,1524276891
Busselton,AU,2075265,-33.64,115.35,69.07,98,64,17.2,1524276892
East London,ZA,1006984,-33.02,27.91,71.05,100,0,10.94,1524276892
Hermanus,ZA,3366880,-34.42,19.24,41.53,94,0,2.33,1524276892
Bluff,NZ,2206939,-46.6,168.33,51.52,100,80,28.27,1524276892
Albany,AU,2077963,-35.02,117.88,71.77,66,20,13.67,1524276892
Bredasdorp,ZA,1015776,-34.53,20.04,50.0,87,0,4.7,1524272400
Vaini,TO,4032243,-21.2,-175.2,80.6,88,90,5.82,1524276000
Rikitea,PF,4030556,-23.12,-134.97,79.15,100,92,10.6,1524276893
New Norfolk,AU,2155415,-42.78,147.06,64.4,55,0,3.36,1524276000
Hobart,AU,2163355,-42.88,147.33,64.4,55,0,3.36,1524276000
Kruisfontein,ZA,986717,-34.0,24.73,56.74,95,0,7.07,1524276894
Kaitangata,NZ,2208248,-46.28,169.85,46.48,96,88,22.24,1524276894
Cape Town,ZA,3369157,-33.93,18.42,48.2,100,20,3.36,1524272400
Avarua,CK,4035715,-21.21,-159.78,78.34,100,8,11.39,1524276894
Saint-Philippe,RE,935215,-21.36,55.77,78.8,78,90,5.82,1524274200
Mar del Plata,AR,3863379,-46.43,-67.52,55.84,60,0,17.87,1524276894
Chuy,UY,3443061,-33.69,-53.46,69.34,92,88,8.37,1524276895
Souillac,MU,933995,-20.52,57.52,78.8,83,75,14.99,1524272400
Tuatapere,NZ,2180815,-46.13,167.69,47.92,100,92,22.62,1524276895
Cidreira,BR,3466165,-30.17,-50.22,69.97,88,48,6.02,1524276895
Dunedin,NZ,2191562,-45.87,170.5,51.52,60,48,19.33,1524276622
Portland,AU,2152668,-33.35,149.98,64.75,78,20,2.82,1524276896
Castro,CL,3896218,-42.48,-73.76,53.32,98,92,7.92,1524276896
Plettenberg Bay,ZA,964712,-34.05,23.37,57.64,100,0,1.7,1524276896
Rocha,UY,3440777,-34.48,-54.34,66.55,95,68,5.23,1524276896
Arraial do Cabo,BR,3471451,-22.97,-42.02,71.68,97,20,7.85,1524276896
Jamestown,SH,3370903,-15.94,-5.72,75.91,100,92,13.11,1524276896
Mahebourg,MU,934322,-20.41,57.7,78.8,83,75,14.99,1524272400
Esperance,AU,2071860,-33.86,121.89,78.88,42,0,4.5,1524276897
Mount Gambier,AU,2156643,-37.83,140.78,70.42,84,0,3.04,1524276897
Rio Gallegos,AR,3838859,-51.62,-69.22,39.2,55,0,20.8,1524272400
Rawson,AR,3839307,-43.3,-65.11,63.04,30,0,9.15,1524276898
Coihaique,CL,3894426,-45.58,-72.07,42.8,93,20,2.24,1524272400
Port Lincoln,AU,2063036,-34.72,135.86,72.22,77,0,5.12,1524276898
Necochea,AR,3430443,-38.55,-58.74,65.65,96,88,3.04,1524276898
Christchurch,NZ,2192362,-43.53,172.64,60.34,70,92,10.65,1524276656
Wyndham,NZ,2178933,-46.33,168.85,45.31,100,92,18.54,1524276898
Waipawa,NZ,2185329,-39.94,176.59,63.04,58,8,21.45,1524276899
Saldanha,ZA,3361934,-33.01,17.94,53.14,93,0,4.61,1524276899
Viedma,AR,3832899,-40.81,-62.99,61.96,40,0,7.36,1524276899
Te Anau,NZ,2181625,-45.41,167.72,43.33,98,92,7.29,1524276899
Waitati,NZ,2179825,-45.75,170.57,51.52,60,48,19.33,1524276899
Ancud,CL,3899695,-41.87,-73.83,54.67,93,56,7.25,1524276900
Bambous Virieux,MU,1106677,-20.34,57.76,78.8,83,75,14.99,1524272400
San Carlos de Bariloche,AR,7647007,-41.13,-71.31,51.8,81,40,18.34,1524272400
Rio Grande,BR,3451138,-32.03,-52.1,70.87,99,92,7.52,1524276900
Hokitika,NZ,2206894,-42.72,170.96,55.66,100,92,21.9,1524276961
Wellington,NZ,2179537,-41.29,174.78,64.12,82,0,23.13,1524276858
Wanaka,NZ,2184707,-44.7,169.14,48.82,48,64,8.08,1524276961
Batemans Bay,AU,2176639,-35.71,150.18,65.29,91,56,3.11,1524276961
General Roca,AR,3855065,-39.03,-67.58,68.0,45,0,4.7,1524272400
Opunake,NZ,2206357,-39.45,173.86,61.24,96,80,22.35,1524276961
Valdivia,CL,3868707,-39.81,-73.25,57.2,100,75,2.24,1524272400
Manaia,NZ,2187826,-39.55,174.12,61.24,96,80,22.35,1524276962
Neuquen,AR,3843123,-38.95,-68.06,68.0,45,0,4.7,1524272400
Westport,NZ,2206900,-41.75,171.6,52.69,100,92,5.84,1524276962
Ulladulla,AU,2145554,-35.36,150.48,62.6,100,90,5.39,1524272400
Gisborne,NZ,2206854,-38.66,178.02,67.99,61,24,18.1,1524276882
Lebu,CL,3883457,-37.62,-73.65,57.64,93,92,8.3,1524276963
Crib Point,AU,2169995,-38.35,145.2,63.85,99,64,3.78,1524276963
Sale,AU,2150615,-38.11,147.06,66.37,80,12,3.49,1524276963
Santa Rosa,AR,3835994,-36.62,-64.29,65.47,85,0,8.14,1524276963
Opotiki,NZ,2208332,-38.01,177.29,64.57,100,56,20.6,1524276964
Knysna,ZA,988698,-34.04,23.05,50.0,100,0,3.36,1524272400
Stawell,AU,2148431,-37.06,142.77,69.34,72,92,4.12,1524276964
Victor Harbor,AU,2059470,-35.55,138.62,84.2,30,0,13.87,1524276000
Margate,ZA,978895,-30.86,30.37,68.62,99,68,10.6,1524276964
Cooma,AU,2170577,-36.24,149.13,60.61,96,24,3.33,1524276965
Dargaville,NZ,2191911,-35.94,173.86,66.19,74,92,15.57,1524276965
Kiama,AU,2161515,-34.67,150.86,62.6,100,90,3.49,1524272400
Flinders,AU,6255012,-34.58,150.85,62.6,100,90,3.49,1524272400
Ahipara,NZ,2194098,-35.17,173.16,63.58,94,92,12.84,1524276965
Tairua,NZ,2182010,-37.02,175.85,65.65,69,64,10.09,1524276965
Veinticinco de Mayo,AR,3427537,-27.38,-54.75,70.24,92,8,2.21,1524276966
Lincoln,AR,3846864,-34.87,-61.53,68.8,96,88,3.49,1524276966
Constitucion,CL,3893726,-35.33,-72.42,54.58,95,0,8.52,1524276966
Nelson Bay,AU,2155562,-32.72,152.14,71.6,64,40,14.99,1524276000
Geraldton,AU,2070998,-28.77,114.6,71.6,49,80,3.36,1524274200
Port Macquarie,AU,2152659,-31.43,152.91,68.0,88,90,5.82,1524276000
Chimbarongo,CL,3895061,-34.71,-71.04,55.4,87,0,0.87,1524272400
Collie,AU,2074113,-33.36,116.15,62.32,96,100,10.6,1524276968
Russell,NZ,2188874,-35.26,174.12,63.94,78,76,12.62,1524276971
Sao Joao da Barra,BR,3448903,-21.64,-41.05,77.35,99,0,11.32,1524276730
Ambovombe,MG,1079048,-25.18,46.09,67.0,100,32,3.6,1524276972
Richards Bay,ZA,962367,-28.77,32.06,63.67,98,24,4.12,1524276972
Luderitz,NA,3355672,-26.65,15.16,56.11,90,0,6.91,1524276972
Broken Hill,AU,2173911,-31.97,141.45,79.87,38,20,7.25,1524276972
Talcahuano,CL,3870282,-36.72,-73.12,55.4,100,40,1.12,1524274680
Raymond Terrace,AU,2205631,-32.76,151.75,71.6,64,40,14.99,1524276000
Oranjemund,NA,3354071,-28.55,16.43,59.8,100,0,6.29,1524276973
Beloha,MG,1067565,-25.17,45.06,65.38,88,48,2.37,1524276973
Rosario,AR,3838583,-32.96,-60.66,68.0,94,92,4.79,1524272400
Noumea,NC,2139521,-22.28,166.46,84.2,58,75,13.87,1524276000
Dubbo,AU,2168305,-32.25,148.6,78.8,41,0,8.05,1524276000
Kaeo,NZ,2189343,-35.1,173.78,63.94,78,76,12.62,1524276974
Cangucu,BR,3467512,-31.39,-52.68,66.91,97,92,7.36,1524276974
Port Shepstone,ZA,964406,-30.74,30.45,68.62,99,68,10.6,1524276974
Pinheiro Machado,BR,3453741,-31.58,-53.38,66.55,97,88,8.08,1524277035
Calvinia,ZA,3369174,-31.47,19.78,40.54,73,0,2.71,1524277035
De Aar,ZA,1011632,-30.65,24.01,35.32,71,0,2.77,1524277035
Sao Lourenco do Sul,BR,3448596,-31.37,-51.98,68.08,98,88,6.91,1524277035
Ballina,AU,2177069,-28.87,153.57,68.98,100,92,6.29,1524277035
Ovalle,CL,3877918,-30.6,-71.2,55.84,95,0,2.89,1524277036
Saint-Joseph,RE,6690296,-21.37,55.62,78.8,78,90,5.82,1524274200
Northam,AU,2064550,-31.65,116.67,75.2,41,32,9.17,1524276000
San Francisco,AR,3837675,-31.43,-62.08,71.95,97,36,5.91,1524277036
Salto,UY,3440714,-31.39,-57.96,68.53,94,12,2.71,1524277036
Cordoba,AR,3846616,-27.78,-67.24,49.09,88,24,1.7,1524277037
Port Augusta,AU,2063056,-32.49,137.76,82.4,39,12,8.05,1524276000
Armidale,AU,2177671,-30.51,151.67,62.32,83,44,7.85,1524277037
Inhambane,MZ,1045114,-23.87,35.38,71.05,100,48,7.52,1524277037
Coquimbo,CL,3893629,-29.95,-71.34,57.2,87,90,5.91,1524272400
Vila Velha,BR,6320062,-3.71,-38.6,78.8,78,40,9.17,1524276000
Taquari,BR,3446783,-29.79,-51.87,67.54,96,56,4.72,1524277038
Ritchie,ZA,961226,-29.03,24.6,48.2,81,0,2.89,1524272400
Moree,AU,2156927,-29.46,149.84,75.91,71,0,5.12,1524277038
Reconquista,AR,3429594,-29.14,-59.64,72.58,94,36,6.8,1524277038
Carnarvon,AU,2074865,-24.87,113.63,79.78,73,0,7.92,1524277039
Byron Bay,AU,2172880,-28.65,153.62,78.8,57,40,14.99,1524276000
Brisbane,AU,2174003,-27.47,153.02,75.2,64,75,11.41,1524276000
Warmbad,NA,3352263,-28.45,18.73,47.83,74,0,3.6,1524277039
Panambi,BR,3455281,-28.29,-53.5,66.55,89,8,4.34,1524276844
Santiago del Estero,AR,3835869,-27.8,-64.26,76.36,75,12,3.71,1524276974
Soledade,BR,3387258,-7.06,-36.37,71.95,82,8,8.41,1524277040
La Rioja,AR,3848950,-29.41,-66.86,71.95,67,12,5.06,1524276949
Alice Springs,AU,2077895,-23.7,133.88,87.8,14,0,9.17,1524276000
Kathu,ZA,991664,-27.7,23.05,44.05,66,0,2.89,1524277040
Pirapo,PY,3437514,-26.85,-55.53,72.22,90,32,1.48,1524277040
Puerto Ayora,EC,3652764,-0.74,-90.35,76.81,97,0,9.75,1524277041
Taltal,CL,3870243,-25.41,-70.49,57.37,96,8,2.33,1524277041
Heidelberg,ZA,997151,-26.5,28.36,51.8,100,32,4.9,1524272400
Gold Coast,AU,2165087,-28.0,153.41,78.8,57,40,14.99,1524276000
Nsoko,SZ,934900,-27.03,31.95,62.6,93,68,11.41,1524272400
Vryburg,ZA,942511,-26.96,24.73,45.22,70,0,2.89,1524277042
Rio do Sul,BR,3451152,-27.22,-49.64,61.42,95,12,2.04,1524277042
Palmas,BR,3474574,-10.18,-48.33,78.8,88,0,5.82,1524272400
Vao,NC,2137773,-22.67,167.48,75.82,100,48,16.35,1524277042
Manzini,SZ,934995,-26.5,31.37,62.6,93,92,11.41,1524272400
Tsabong,BW,932987,-26.02,22.4,54.22,50,0,2.82,1524277043
Siteki,SZ,934851,-26.45,31.95,62.6,93,68,11.41,1524272400
Yulara,AU,6355222,-25.24,130.99,87.8,18,32,3.36,1524276000
Moindou,NC,2140466,-21.69,165.68,84.2,58,75,13.87,1524276000
Pouembout,NC,2138592,-21.12,164.9,76.81,76,88,4.27,1524277044
Keetmanshoop,NA,3356264,-26.57,18.15,68.0,32,0,2.89,1524272400
Pisco,PE,3932145,-13.71,-76.2,69.8,77,0,5.82,1524272400
Coolum Beach,AU,2170581,-26.53,153.09,65.65,100,92,4.38,1524277044
Walvis Bay,NA,3359638,-22.95,14.51,53.6,87,0,1.12,1524272400
Maputo,MZ,1040652,-25.97,32.57,67.18,91,44,2.59,1524277105
Mariental,NA,3355595,-24.63,17.97,68.0,45,0,2.24,1524272400
Pitanga,BR,3453478,-24.76,-51.76,61.96,88,20,2.04,1524276810
Biloela,AU,2175819,-24.4,150.51,77.62,63,32,5.35,1524277105
Salta,AR,3838233,-24.79,-65.41,69.8,88,20,3.36,1524272400
Maltahohe,NA,3355624,-24.83,16.98,42.34,78,0,2.77,1524277105
San Pedro,AR,3428576,-33.68,-59.66,70.15,94,92,6.06,1524277106
Vangaindrano,MG,1054329,-23.35,47.6,63.94,96,12,2.26,1524277106
Antofagasta,CL,3899539,-23.65,-70.4,60.8,82,20,6.93,1524272400
Hervey Bay,AU,2146219,-25.3,152.85,74.29,100,44,9.6,1524277106
Aranos,NA,3358666,-24.14,19.11,52.33,48,0,4.9,1524277106
Emerald,AU,2167426,-23.53,148.16,81.67,54,12,6.29,1524277107
Macia,MZ,1024701,-25.03,33.09,67.9,96,80,3.78,1524277107
Mount Isa,AU,2065594,-20.73,139.49,91.4,27,0,6.93,1524276000
Gladstone,AU,2165478,-23.84,151.26,77.17,77,76,9.53,1524277107
Mochudi,BW,933340,-24.38,26.15,57.2,76,0,5.82,1524272400
Isangel,VU,2136825,-19.55,169.27,82.4,83,75,8.05,1524276000
Phalaborwa,ZA,965528,-23.95,31.14,66.46,95,88,3.83,1524277108
Saint-Louis,RE,6690298,-21.27,55.42,78.8,78,90,5.82,1524274200
San Ramon de la Nueva Oran,AR,3836620,-23.13,-64.33,75.55,76,36,2.59,1524277108
Libertador General San Martin,AR,3846915,-23.81,-64.79,69.8,88,40,1.48,1524272400
Blackwater,AU,2175403,-23.58,148.88,80.95,51,0,5.39,1524277109
Louis Trichardt,ZA,981827,-23.04,29.91,60.16,95,24,2.71,1524277109
Amambai,BR,3472391,-23.11,-55.23,72.31,87,32,2.89,1524277109
Port Hedland,AU,2063042,-20.31,118.58,93.2,46,0,3.36,1524276000
Sao Jose dos Campos,BR,3448636,-23.18,-45.89,62.6,88,0,3.36,1524272400
Taquarituba,BR,3446752,-23.53,-49.25,65.47,76,44,10.04,1524277110
Manyana,BW,933018,-24.78,25.59,57.2,76,0,5.82,1524272400
Mokobeng,BW,933313,-23.0,27.67,63.04,85,0,10.76,1524277110
Tadine,NC,2138285,-21.55,167.88,78.79,94,68,16.08,1524277110
Broome,AU,2075720,-17.97,122.23,89.6,62,0,12.75,1524276000
Ponta Pora,BR,3453150,-22.54,-55.73,67.72,93,12,2.37,1524277111
Georgetown,SH,2411397,-7.93,-14.42,78.88,100,0,6.35,1524277111
Manakara,MG,1061605,-22.14,48.01,70.96,100,44,1.54,1524277111
Saint-Pierre,RE,935214,-21.34,55.48,78.8,78,90,5.82,1524274200
Sakaraha,MG,1057095,-22.91,44.53,55.39,89,0,2.26,1524277112
Santa Cruz do Rio Pardo,BR,3450272,-22.91,-49.63,64.75,72,24,8.08,1524277112
Windhoek,NA,3352136,-22.57,17.08,59.0,70,0,5.82,1524272400
Moerai,PF,4034188,-22.43,-151.33,78.25,100,92,14.9,1524277112
Alofi,NU,4036284,-19.06,-169.92,79.87,100,92,19.15,1524277112
Roebourne,AU,2062276,-20.77,117.15,97.24,19,0,4.61,1524277112
Karratha,AU,6620339,-20.74,116.85,97.24,19,0,4.61,1524277113
Voh,NC,2137748,-20.95,164.69,77.35,100,12,10.76,1524277113
Gobabis,NA,3357247,-22.45,18.97,52.15,47,0,9.86,1524277113
Quelimane,MZ,1028434,-17.88,36.89,67.27,89,0,3.04,1524277113
Caravelas,BR,3466980,-17.73,-39.27,77.8,100,0,10.09,1524277114
Beitbridge,ZW,895269,-22.22,30.0,66.64,87,32,8.03,1524277114
Henties Bay,NA,3356832,-22.12,14.28,61.24,100,32,5.28,1524277114
Filadelfia,PY,3867291,-22.35,-60.04,78.79,72,0,9.86,1524277174
Calama,CL,3897347,-22.46,-68.93,59.0,51,0,11.41,1524272400
Labuhan,ID,1641899,-2.54,115.51,84.64,78,44,0.98,1524277175
Charters Towers,AU,2171722,-20.07,146.27,76.27,100,0,6.35,1524277175
Ankazoabo,MG,1072879,-22.29,44.51,61.15,98,0,3.22,1524277175
Uyuni,BO,3901903,-20.46,-66.82,30.19,82,0,2.89,1524277175
Guarapari,BR,3461888,-20.67,-40.5,69.8,100,20,3.36,1524272400
Koumac,NC,2140558,-20.56,164.28,75.91,94,32,5.5,1524277176
Mananjary,MG,1056151,-19.16,46.8,53.59,92,0,3.38,1524277176
Guaxupe,BR,3461763,-21.31,-46.71,57.19,76,12,2.71,1524277176
Outjo,NA,3353715,-20.11,16.16,64.4,45,0,3.36,1524272400
Mayor Pablo Lagerenza,PY,3867427,-19.93,-60.77,78.34,70,20,9.6,1524277177
Poum,NC,2138555,-20.23,164.02,76.45,100,12,8.63,1524277177
Le Port,RE,935616,-20.94,55.29,78.8,74,56,6.93,1524274200
Namibe,AO,3347019,-15.19,12.15,78.34,100,0,5.35,1524277177
Tautira,PF,4033557,-17.73,-149.15,86.0,66,20,13.87,1524276000
Bowen,AU,2174444,-20.01,148.25,80.6,61,0,12.75,1524272400
Hithadhoo,MV,1282256,-0.6,73.08,81.94,100,68,19.37,1524277152
Sehithwa,BW,933109,-20.47,22.7,65.47,62,32,5.01,1524277178
Iquique,CL,3887127,-20.22,-70.14,69.8,64,0,8.05,1524272400
Monteagudo,BO,3910094,-19.8,-63.96,60.43,97,76,1.59,1524277178
Bulawayo,ZW,894701,-20.16,28.59,56.47,96,76,5.79,1524277179
Cap Malheureux,MU,934649,-19.98,57.61,78.8,83,75,14.99,1524272400
Pangai,TO,4032369,-19.8,-174.35,78.8,94,90,13.62,1524276000
Fayaoue,NC,2141305,-20.65,166.53,79.24,100,24,16.08,1524277179
Linhares,BR,3458498,-19.38,-40.06,64.66,89,36,3.27,1524277179
Sabinopolis,BR,3450806,-18.67,-43.08,57.91,92,36,2.55,1524277180
Mackay,AU,2159220,-21.15,149.2,80.6,69,40,13.87,1524272400
Maceio,BR,3395981,-9.67,-35.74,73.4,94,0,2.24,1524276000
Rio Verde de Mato Grosso,BR,3451051,-18.92,-54.84,71.41,88,56,3.22,1524277180
Saint-Denis,RE,6690295,-20.87,55.47,78.8,74,56,6.93,1524274200
Kununurra,AU,2068110,-15.77,128.74,93.2,41,0,4.7,1524276000
Rundu,NA,3353383,-17.91,19.77,57.91,60,8,2.82,1524277181
San Jose,BO,3904666,-17.94,-63.35,75.2,88,20,4.7,1524272400
Quatre Cocos,MU,1106643,-20.21,57.76,78.8,83,75,14.99,1524272400
Centralina,BR,3466462,-18.58,-49.2,69.97,86,24,5.79,1524277073
Manica,MZ,882955,-18.94,32.88,66.2,100,40,2.48,1524272400
Santa Helena de Goias,BR,3450206,-17.81,-50.6,71.59,83,32,5.79,1524277182
Patacamaya,BO,3908339,-17.23,-67.92,31.72,85,0,4.05,1524277182
Hualmay,PE,3939761,-11.1,-77.61,61.42,96,8,3.83,1524277183
Neiafu,TO,4032420,-18.65,-173.98,82.4,83,75,5.82,1524276000
Teofilo Otoni,BR,3446621,-17.86,-41.51,64.12,84,8,6.06,1524277183
Opuwo,NA,3354077,-18.06,13.84,55.84,79,0,3.49,1524277183
Atherton,AU,2177541,-17.27,145.48,84.2,54,20,18.34,1524276000
Tsiroanomandidy,MG,1054463,-18.77,46.05,55.75,93,0,2.71,1524277183
Sesheke,ZM,898905,-17.48,24.3,64.12,67,32,2.21,1524277184
Ondjiva,AO,3346821,-17.07,15.73,60.34,68,20,2.89,1524277184
Eenhana,NA,3357804,-17.48,16.34,60.97,61,24,2.82,1524277184
Belmonte,BR,3448454,-26.84,-53.58,68.62,90,64,3.71,1524277184
Atuona,PF,4020109,-9.8,-139.03,81.49,100,64,18.1,1524277138
Puerto Quijarro,BO,3465342,-19.0,-57.72,72.22,95,12,2.48,1524277245
Moquegua,PE,3934608,-17.19,-70.93,52.33,87,0,2.21,1524277245
Katherine,AU,2068655,-14.47,132.26,93.2,34,0,12.75,1524276000
Mount Darwin,ZW,885800,-16.77,31.58,65.56,80,0,6.06,1524277245
Rondonopolis,BR,3450909,-16.46,-54.64,72.13,85,44,1.32,1524277246
Faanui,PF,4034551,-16.48,-151.75,81.13,100,88,7.29,1524277246
Francisco Sa,BR,3462975,-16.48,-43.49,65.65,80,20,7.4,1524277246
Guiratinga,BR,3461733,-16.35,-53.76,71.41,85,24,2.55,1524277246
Grand Gaube,MU,934479,-20.01,57.66,78.8,83,75,14.99,1524272400
Tiarei,PF,4033356,-17.53,-149.33,86.0,66,20,13.87,1524276000
Lima,PE,3936456,-12.06,-77.04,57.73,88,32,1.77,1524277076
Colomi,BO,3919813,-17.34,-65.87,64.4,42,44,6.93,1524272400
Alyangula,AU,2079582,-13.85,136.42,88.78,82,0,19.71,1524277247
Sao Joao da Ponte,BR,3448892,-15.93,-44.01,66.37,80,20,6.51,1524277247
Cairns,AU,2172797,-16.92,145.77,84.2,54,20,18.34,1524276000
Huarmey,PE,3939168,-10.07,-78.15,61.51,83,32,3.0,1524277248
Barra do Garcas,BR,3470709,-15.89,-52.26,72.85,78,92,3.33,1524277248
Banjar,ID,1650233,-7.37,108.54,84.01,76,12,3.71,1524277248
Guanay,BO,3911924,-15.5,-67.88,65.83,94,100,0.98,1524277249
Sola,VU,2134814,-13.88,167.55,83.11,89,8,6.51,1524277249
Lubango,AO,3347762,-14.92,13.49,57.01,88,8,2.33,1524277249
Phalombe,MW,924206,-15.81,35.65,59.71,95,0,2.59,1524277250
Itapaci,BR,3460773,-14.95,-49.55,70.42,77,32,2.55,1524277250
Fare,PF,4034496,-16.7,-151.02,80.14,100,92,11.1,1524277244
Porteirinha,BR,3452956,-15.74,-43.03,70.69,70,8,6.24,1524277250
Samarai,PG,2132606,-10.62,150.67,83.74,100,48,10.76,1524277149
Mahina,PF,4034307,-17.51,-149.49,86.0,66,20,13.87,1524276000
Orcopampa,PE,3933986,-15.27,-72.34,28.48,91,20,0.81,1524277251
Kalabo,ZM,915471,-15.0,22.67,62.05,64,0,4.9,1524277251
Antalaha,MG,1071296,-14.9,50.28,74.65,100,92,6.58,1524277251
Limulunga,ZM,910361,-15.13,23.15,62.5,61,12,5.28,1524277251
Pontes e Lacerda,BR,3453060,-15.23,-59.33,69.16,90,0,5.57,1524277252
Arenapolis,BR,3471551,-14.45,-56.85,72.31,90,24,2.89,1524277252
Cuamba,MZ,1047660,-14.8,36.54,63.94,97,88,5.28,1524277221
Mangochi,MW,927246,-14.48,35.26,65.74,99,32,3.71,1524277252
Andapa,MG,1076454,-14.66,49.65,69.97,98,76,2.21,1524277252
Talavera,PE,3928043,-13.65,-73.43,39.1,91,20,1.59,1524277253
Cavalcante,BR,3466594,-13.79,-47.46,64.93,89,32,2.48,1524277253
Lukulu,ZM,909488,-14.38,23.24,59.26,59,12,5.73,1524277253
Chirongui,YT,1090415,-12.93,45.15,80.6,88,12,10.29,1524274200
Bambanglipuro,ID,1650434,-7.95,110.28,83.29,96,36,4.05,1524277247
Petauke,ZM,899825,-14.25,31.33,67.54,71,32,12.28,1524277253
Diamantino,BR,3464724,-14.4,-56.44,74.11,83,88,3.56,1524277254
Honiara,SB,2108502,-9.43,159.96,87.8,66,75,8.05,1524272400
Kirakira,SB,2178753,-10.46,161.92,81.22,100,56,9.26,1524277170
Ambilobe,MG,1082243,-13.19,49.05,71.05,93,8,3.04,1524277254
Sambava,MG,1056899,-14.27,50.17,76.72,100,88,11.83,1524277254
Tanhacu,BR,3446971,-14.02,-41.25,67.81,97,88,3.38,1524277315
Srandakan,ID,1626493,-7.94,110.25,83.29,96,36,4.05,1524277315
Caluquembe,AO,3351024,-13.78,14.68,50.08,71,0,2.59,1524277315
Kawalu,ID,1640902,-7.38,108.21,78.97,78,48,3.04,1524277315
Pemba,MZ,1028918,-12.97,40.52,81.31,100,24,18.7,1524277315
Kupang,ID,2057087,-10.16,123.6,86.53,86,8,15.41,1524277316
Palmerston,AU,6301965,-12.49,130.99,91.4,36,0,16.11,1524276000
Chicama,PE,3698359,-7.84,-79.15,68.0,77,0,8.05,1524272400
Mpika,ZM,905846,-11.84,31.4,58.27,83,20,6.24,1524277316
Nhulunbuy,AU,2064735,-12.18,136.78,87.8,58,75,14.99,1524276000
Fomboni,KM,921889,-12.28,43.74,83.92,100,32,15.86,1524277317
Conde,BR,3465713,-11.81,-37.61,74.02,100,100,5.35,1524277317
Kasempa,ZM,912628,-13.46,25.83,55.12,69,0,4.5,1524277317
Acoua,YT,922015,-12.72,45.06,80.6,88,0,9.17,1524276000
Montepuez,MZ,1037125,-13.13,39.0,68.53,87,0,8.03,1524277318
Solwezi,ZM,897045,-12.18,26.4,54.04,81,0,4.72,1524277318
